orig_path,proc_path,subject,label,split
data\raw\Sub2\Eyeclose\1192.jpg,data\processed\eyeclose\Sub2_1192.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1180.jpg,data\processed\eyeclose\Sub2_1180.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\2964.jpg,data\processed\eyeclose\Sub3_2964.png,Sub3,eyeclose,train
data\raw\Sub3\Happy\3563.jpg,data\processed\happy\Sub3_3563.png,Sub3,happy,train
data\raw\Sub3\Neutral\2894.jpg,data\processed\neutral\Sub3_2894.png,Sub3,neutral,train
data\raw\Sub2\Eyeclose\1177.jpg,data\processed\eyeclose\Sub2_1177.png,Sub2,eyeclose,train
data\raw\Sub3\Happy\3574.jpg,data\processed\happy\Sub3_3574.png,Sub3,happy,train
data\raw\Sub3\Neutral\2858.jpg,data\processed\neutral\Sub3_2858.png,Sub3,neutral,train
data\raw\Sub1\Neutral\52.jpg,data\processed\neutral\Sub1_52.png,Sub1,neutral,train
data\raw\Sub3\Yawn\3212.jpg,data\processed\yawn\Sub3_3212.png,Sub3,yawn,train
data\raw\Sub3\Eyeclose\3516.jpg,data\processed\eyeclose\Sub3_3516.png,Sub3,eyeclose,train
data\raw\Sub1\Eyeclose\211.jpg,data\processed\eyeclose\Sub1_211.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1209.jpg,data\processed\eyeclose\Sub2_1209.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1682.jpg,data\processed\eyeclose\Sub2_1682.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\1533.jpg,data\processed\neutral\Sub2_1533.png,Sub2,neutral,train
data\raw\Sub3\Happy\3569.jpg,data\processed\happy\Sub3_3569.png,Sub3,happy,train
data\raw\Sub1\Eyeclose\326.jpg,data\processed\eyeclose\Sub1_326.png,Sub1,eyeclose,train
data\raw\Sub2\Neutral\927.jpg,data\processed\neutral\Sub2_927.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1148.jpg,data\processed\eyeclose\Sub2_1148.png,Sub2,eyeclose,train
data\raw\Sub2\Neutral\1529.jpg,data\processed\neutral\Sub2_1529.png,Sub2,neutral,train
data\raw\Sub2\Happy\1487.jpg,data\processed\happy\Sub2_1487.png,Sub2,happy,train
data\raw\Sub3\Eyeclose\3491.jpg,data\processed\eyeclose\Sub3_3491.png,Sub3,eyeclose,train
data\raw\Sub1\Yawn\451.jpg,data\processed\yawn\Sub1_451.png,Sub1,yawn,train
data\raw\Sub2\Neutral\1524.jpg,data\processed\neutral\Sub2_1524.png,Sub2,neutral,train
data\raw\Sub3\Neutral\2830.jpg,data\processed\neutral\Sub3_2830.png,Sub3,neutral,train
data\raw\Sub3\Yawn\3196.jpg,data\processed\yawn\Sub3_3196.png,Sub3,yawn,train
data\raw\Sub3\Eyeclose\3526.jpg,data\processed\eyeclose\Sub3_3526.png,Sub3,eyeclose,train
data\raw\Sub2\Neutral\1553.jpg,data\processed\neutral\Sub2_1553.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1175.jpg,data\processed\eyeclose\Sub2_1175.png,Sub2,eyeclose,train
data\raw\Sub1\Neutral\75.jpg,data\processed\neutral\Sub1_75.png,Sub1,neutral,train
data\raw\Sub1\Neutral\112.jpg,data\processed\neutral\Sub1_112.png,Sub1,neutral,train
data\raw\Sub2\Eyeclose\1608.jpg,data\processed\eyeclose\Sub2_1608.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1164.jpg,data\processed\eyeclose\Sub2_1164.png,Sub2,eyeclose,train
data\raw\Sub3\Happy\3560.jpg,data\processed\happy\Sub3_3560.png,Sub3,happy,train
data\raw\Sub2\Eyeclose\1747.jpg,data\processed\eyeclose\Sub2_1747.png,Sub2,eyeclose,train
data\raw\Sub2\Eyeclose\1105.jpg,data\processed\eyeclose\Sub2_1105.png,Sub2,eyeclose,train
data\raw\Sub1\Eyeclose\196.jpg,data\processed\eyeclose\Sub1_196.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1621.jpg,data\processed\eyeclose\Sub2_1621.png,Sub2,eyeclose,train
data\raw\Sub1\Eyeclose\207.jpg,data\processed\eyeclose\Sub1_207.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1741.jpg,data\processed\eyeclose\Sub2_1741.png,Sub2,eyeclose,train
data\raw\Sub3\Yawn\3715.jpg,data\processed\yawn\Sub3_3715.png,Sub3,yawn,train
data\raw\Sub2\Neutral\959.jpg,data\processed\neutral\Sub2_959.png,Sub2,neutral,train
data\raw\Sub2\Eyeclose\1124.jpg,data\processed\eyeclose\Sub2_1124.png,Sub2,eyeclose,train
data\raw\Sub3\Neutral\2847.jpg,data\processed\neutral\Sub3_2847.png,Sub3,neutral,train
data\raw\Sub2\Neutral\957.jpg,data\processed\neutral\Sub2_957.png,Sub2,neutral,train
data\raw\Sub1\Eyeclose\793.jpg,data\processed\eyeclose\Sub1_793.png,Sub1,eyeclose,train
data\raw\Sub2\Neutral\1561.jpg,data\processed\neutral\Sub2_1561.png,Sub2,neutral,train
data\raw\Sub1\Neutral\94.jpg,data\processed\neutral\Sub1_94.png,Sub1,neutral,train
data\raw\Sub2\Eyeclose\1206.jpg,data\processed\eyeclose\Sub2_1206.png,Sub2,eyeclose,train
data\raw\Sub3\Eyeclose\3504.jpg,data\processed\eyeclose\Sub3_3504.png,Sub3,eyeclose,train
data\raw\Sub1\Eyeclose\315.jpg,data\processed\eyeclose\Sub1_315.png,Sub1,eyeclose,train
data\raw\Sub2\Eyeclose\1132.jpg,data\processed\eyeclose\Sub2_1132.png,Sub2,eyeclose,train
